Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Direction,FloorCount,WalkScore,SchoolNearby,HospitalNearby,PublicTransport,PropertyCondition,HeatingType,GarageType,RenovatedYear
Essendon,3,t,2554748.0,SP,hockingstuart,1/9/2018,33.4,3142,4.0,2.0,0.0,2345.8,52.5,,Yarra,-37.9048,144.9853,Western Metropolitan,19914,SE,,46.0,Yes,No,No,Excellent,None,,
Richmond,6,t,2077352.0,S,Biggin,7/5/2017,28.2,3082,4.0,3.0,,,109.6,,Darebin,-37.5774,144.7892,Western Metropolitan,4802,NW,3.0,42.0,Yes,No,No,Poor,,Double,
St Kilda,5,t,880270.0,PI,hockingstuart,7/5/2017,21.1,3186,1.0,1.0,,721.5,,1861.0,Port Phillip,-37.6742,144.8236,Northern Metropolitan,16773,SE,1.0,,No,No,Yes,,,Single,2016.0
St Kilda,2,t,2575281.0,VB,Biggin,18/6/2016,23.3,3010,6.0,3.0,2.0,,,1904.0,Moreland,-37.8123,144.7429,Southern Metropolitan,26966,NW,3.0,94.0,No,Yes,Yes,Poor,Electric,Single,2003.0
Malvern,1,t,2676105.0,VB,Nelson,1/9/2018,32.7,3147,6.0,4.0,4.0,551.4,257.7,2011.0,Port Phillip,-37.9473,145.1396,Northern Metropolitan,21264,SE,2.0,,No,Yes,Yes,Good,Solar,,
Moonee Ponds,4,u,867367.0,S,Biggin,3/12/2016,16.1,3182,2.0,4.0,,777.2,,1970.0,Boroondara,-37.629,144.8258,Western Metropolitan,26887,W,,69.0,No,Yes,Yes,Good,,Carport,
South Yarra,4,t,1354381.0,PI,Barry,18/6/2016,12.9,3035,6.0,2.0,,1321.2,,,Moreland,-37.5623,145.0699,Southern Metropolitan,17821,SW,3.0,,Yes,Yes,Yes,,,Single,2013.0
South Yarra,3,h,2509573.0,SP,Barry,1/9/2018,34.2,3081,5.0,2.0,3.0,1027.7,550.5,1981.0,Moonee Valley,-37.557,144.8371,Western Metropolitan,26946,SW,2.0,65.0,No,Yes,Yes,Excellent,,,2005.0
Malvern,4,h,2266328.0,S,Marshall,4/2/2017,30.5,3141,3.0,4.0,1.0,1776.9,,1924.0,Moonee Valley,-37.7806,144.773,Northern Metropolitan,6739,SW,,79.0,Yes,,No,,Electric,Double,
Camberwell,5,u,1111465.0,SP,hockingstuart,18/6/2016,12.7,3185,2.0,1.0,1.0,1046.6,157.4,,Darebin,-37.9218,144.7541,Northern Metropolitan,2531,S,1.0,59.0,,Yes,No,Excellent,None,None,
Camberwell,6,h,488483.0,VB,hockingstuart,4/2/2017,17.3,3037,6.0,3.0,,1209.2,,2008.0,Moonee Valley,-37.8245,145.1301,South-Eastern Metropolitan,19755,SE,3.0,69.0,No,Yes,Yes,Good,Solar,,1999.0
Malvern,5,u,2739703.0,SP,Biggin,18/6/2016,15.7,3088,3.0,4.0,2.0,2595.5,96.6,1986.0,Boroondara,-37.8261,144.7599,Southern Metropolitan,25958,S,2.0,41.0,Yes,No,,Average,,Carport,1998.0
Camberwell,3,u,2116962.0,PI,hockingstuart,7/5/2017,6.9,3207,2.0,1.0,,2659.4,540.6,,Darebin,-37.909,144.7436,South-Eastern Metropolitan,6399,NE,3.0,30.0,Yes,Yes,Yes,Excellent,Solar,None,
Collingwood,5,h,520146.0,SA,Barry,1/9/2018,33.6,3209,5.0,3.0,5.0,2491.7,,1953.0,Port Phillip,-37.7401,144.7047,Southern Metropolitan,10700,SE,2.0,,,Yes,No,Average,,Carport,2001.0
South Yarra,6,t,1630503.0,PI,Nelson,4/2/2017,15.3,3000,3.0,2.0,,,410.9,1988.0,,-37.7082,144.8832,Eastern Metropolitan,4136,S,4.0,79.0,Yes,,No,,,,2021.0
Reservoir,2,h,357524.0,SP,Biggin,18/6/2016,30.9,3103,5.0,1.0,,1730.7,,,Boroondara,-37.6585,145.1713,Southern Metropolitan,22613,E,3.0,72.0,Yes,No,No,Poor,Gas,Double,
Brunswick,3,h,2565458.0,S,hockingstuart,4/2/2017,8.2,3064,3.0,1.0,,1956.4,,,Yarra,-37.9296,145.1543,Western Metropolitan,11249,E,,,Yes,Yes,Yes,,Gas,None,1991.0
Essendon,2,u,1161289.0,VB,Barry,18/6/2016,20.1,3000,1.0,4.0,0.0,1693.7,,1975.0,Moreland,-37.8398,144.7575,Southern Metropolitan,5421,NE,2.0,34.0,No,No,,Excellent,Electric,Single,
Collingwood,1,h,,SA,Marshall,18/6/2016,2.8,3212,1.0,,2.0,2367.5,,,Boroondara,-37.8079,144.7062,South-Eastern Metropolitan,4363,SW,1.0,50.0,Yes,Yes,No,Good,Gas,Double,2009.0
Northcote,2,u,,S,hockingstuart,3/12/2016,27.2,3124,3.0,4.0,3.0,,,,Yarra,-37.5931,145.0755,Northern Metropolitan,14688,E,,94.0,,No,Yes,Average,Electric,Double,1994.0
Collingwood,1,t,430494.0,S,Nelson,3/12/2016,21.2,3059,3.0,,1.0,,254.6,1877.0,Yarra,-37.5894,144.8532,Northern Metropolitan,8752,SE,1.0,50.0,No,Yes,Yes,Good,None,Single,1997.0
Reservoir,1,t,2299186.0,PI,Nelson,3/12/2016,22.6,3024,5.0,2.0,0.0,,,,Moonee Valley,-37.846,145.1173,Southern Metropolitan,5748,NE,1.0,94.0,Yes,,,Average,Electric,,
Northcote,2,t,2540123.0,SP,hockingstuart,4/2/2017,3.7,3090,6.0,3.0,0.0,2293.7,,1892.0,Port Phillip,-37.7551,144.8077,Eastern Metropolitan,27212,NW,1.0,52.0,Yes,No,Yes,,Electric,Double,
Essendon,3,h,2129732.0,PI,hockingstuart,7/5/2017,9.0,3137,4.0,3.0,1.0,2469.9,370.6,2002.0,Darebin,-37.7801,144.9461,Northern Metropolitan,2517,W,2.0,89.0,Yes,Yes,No,Poor,Electric,Double,
Reservoir,6,u,,SP,Barry,18/6/2016,4.5,3049,3.0,3.0,0.0,611.8,438.0,1883.0,,-37.7393,144.7165,Northern Metropolitan,28225,,2.0,31.0,No,Yes,No,Good,None,Double,1998.0
Fitzroy,5,t,527785.0,PI,hockingstuart,1/9/2018,11.5,3139,2.0,4.0,,851.3,,,Moonee Valley,-37.8356,145.1474,Northern Metropolitan,20695,S,4.0,63.0,No,No,No,,Solar,,2022.0
Brunswick,5,u,1640254.0,S,Marshall,3/12/2016,22.7,3091,2.0,3.0,1.0,922.5,,1919.0,Moonee Valley,-37.7648,144.789,Eastern Metropolitan,16953,S,4.0,86.0,No,,Yes,Average,Gas,,1995.0
Essendon,6,u,518449.0,VB,Barry,4/2/2017,20.7,3031,2.0,3.0,,1548.8,,2021.0,Darebin,-37.8919,,South-Eastern Metropolitan,5280,W,4.0,45.0,Yes,Yes,No,,Gas,Single,2021.0
South Yarra,1,t,1638977.0,SP,Biggin,4/2/2017,,3032,1.0,4.0,3.0,444.9,,,Boroondara,-37.6662,144.9399,Southern Metropolitan,23420,S,1.0,77.0,No,Yes,Yes,Excellent,,Double,
Camberwell,1,t,486371.0,SA,Marshall,4/2/2017,20.1,3199,6.0,2.0,,1186.9,598.7,1910.0,Boroondara,-37.8021,144.8356,Eastern Metropolitan,11363,NW,4.0,54.0,Yes,No,Yes,Excellent,,,1993.0
Fitzroy,3,u,2949403.0,SA,Barry,1/9/2018,11.0,3025,5.0,2.0,2.0,587.4,,,Boroondara,-37.733,144.7201,Southern Metropolitan,16244,W,3.0,,Yes,Yes,Yes,Excellent,Solar,Single,2017.0
Moonee Ponds,4,t,896275.0,S,Barry,1/9/2018,10.1,3041,6.0,1.0,3.0,831.1,435.5,,Boroondara,-37.7082,144.7145,Western Metropolitan,8124,W,2.0,61.0,No,No,Yes,Good,Solar,None,
Essendon,2,u,1974502.0,PI,Nelson,3/12/2016,6.5,3177,1.0,,,,486.8,,Moonee Valley,-37.6154,145.1776,Southern Metropolitan,5771,NE,4.0,74.0,Yes,,Yes,Excellent,None,,2005.0
Moonee Ponds,1,u,374591.0,PI,Barry,1/9/2018,30.0,3060,6.0,3.0,2.0,,250.6,1875.0,Moreland,-37.9173,144.8627,Northern Metropolitan,26671,NW,,69.0,No,Yes,No,Average,None,Carport,
Northcote,5,t,2939206.0,S,Marshall,3/12/2016,22.3,3040,6.0,2.0,2.0,117.6,,1992.0,Moreland,-37.7569,144.8672,Eastern Metropolitan,18138,N,,42.0,Yes,,Yes,Poor,Solar,Single,
Fitzroy,3,h,2877951.0,SA,hockingstuart,1/9/2018,8.2,3184,2.0,4.0,,1719.4,582.7,1993.0,Darebin,-37.5924,145.1614,Eastern Metropolitan,19397,SE,2.0,34.0,No,,No,Poor,Electric,None,
Brunswick,2,t,889104.0,SA,Marshall,1/9/2018,7.8,3129,3.0,2.0,5.0,,58.1,1889.0,Moreland,-37.8181,145.1181,South-Eastern Metropolitan,26097,N,3.0,46.0,Yes,No,Yes,Poor,None,,2014.0
South Yarra,3,h,,PI,Biggin,1/9/2018,30.8,3098,2.0,2.0,,301.5,227.8,2019.0,Boroondara,-37.7722,145.0435,Western Metropolitan,21411,NE,2.0,,No,Yes,Yes,,None,Single,2008.0
Malvern,2,u,,SP,Barry,3/12/2016,26.5,3097,6.0,,4.0,2130.0,312.3,2006.0,Moonee Valley,-37.916,145.0293,South-Eastern Metropolitan,21914,NE,,,Yes,No,No,,Solar,Carport,
South Yarra,2,u,1193681.0,VB,Barry,18/6/2016,23.8,3197,3.0,1.0,5.0,2220.0,,1910.0,Boroondara,-37.6497,145.1005,South-Eastern Metropolitan,4869,NE,3.0,64.0,Yes,Yes,Yes,,None,Double,1993.0
Reservoir,6,h,516909.0,SP,Barry,3/12/2016,15.4,3030,5.0,3.0,2.0,2451.2,543.5,2015.0,Yarra,-37.916,,Western Metropolitan,20060,S,3.0,52.0,No,No,No,Good,Gas,Single,
South Yarra,1,u,,SA,Barry,18/6/2016,10.6,3150,4.0,4.0,,1449.0,200.3,,Moonee Valley,,145.0321,Northern Metropolitan,22351,SE,4.0,85.0,Yes,Yes,Yes,Average,None,Carport,
Hawthorn,3,h,1458468.0,SP,Nelson,4/2/2017,34.3,3203,3.0,3.0,,,,,Yarra,,144.7492,Eastern Metropolitan,7925,SE,2.0,45.0,Yes,,No,Poor,Electric,Single,
Coburg,3,h,1410152.0,VB,Nelson,4/2/2017,28.3,3181,,4.0,,,499.4,,Yarra,-37.8147,144.7633,Southern Metropolitan,22360,SW,4.0,81.0,,,No,Average,Gas,None,
Malvern,6,u,,SP,hockingstuart,3/12/2016,12.0,3114,,4.0,,,195.7,,,-37.7158,144.8214,Western Metropolitan,17116,E,4.0,56.0,Yes,,Yes,Poor,,Double,2012.0
Collingwood,5,h,2360932.0,SP,Barry,18/6/2016,30.0,3155,2.0,1.0,2.0,446.8,408.3,,Yarra,-37.7229,145.0549,South-Eastern Metropolitan,1687,NE,,,Yes,,No,Poor,Gas,,2008.0
Camberwell,5,t,2615885.0,SP,Biggin,18/6/2016,27.0,3206,6.0,2.0,4.0,2402.7,500.0,2009.0,Moreland,-37.7878,145.1463,Southern Metropolitan,5923,W,2.0,91.0,No,Yes,Yes,Average,None,Single,
Richmond,1,t,2250892.0,SP,hockingstuart,18/6/2016,11.8,3146,6.0,2.0,,724.6,,1953.0,Moreland,-37.8387,145.0454,Western Metropolitan,5480,,3.0,,Yes,,No,Good,Solar,Carport,
Brunswick,1,u,1130096.0,S,Barry,4/2/2017,16.1,3203,6.0,1.0,1.0,508.8,477.9,1917.0,Yarra,-37.7467,144.9083,Western Metropolitan,7499,S,,,No,No,No,,Gas,Single,
Fitzroy,4,u,2451340.0,SA,Nelson,3/12/2016,8.1,3047,6.0,3.0,,1888.2,89.6,,,-37.8432,144.9568,Northern Metropolitan,5398,,2.0,34.0,,Yes,Yes,Average,None,Double,1990.0
Coburg,6,h,2964766.0,VB,Biggin,7/5/2017,5.7,3001,2.0,,0.0,277.4,84.7,1886.0,Yarra,-37.9089,145.0562,Northern Metropolitan,5305,E,1.0,82.0,No,No,No,Poor,,,
Brunswick,5,h,840073.0,SA,hockingstuart,18/6/2016,25.9,3138,3.0,,,,211.8,,Moonee Valley,-37.6303,145.0066,Eastern Metropolitan,17732,N,2.0,60.0,No,,Yes,Good,,Single,
Fitzroy,2,h,1842173.0,S,Biggin,18/6/2016,10.8,3171,5.0,2.0,2.0,364.8,,1999.0,Moonee Valley,-37.6691,144.9647,Eastern Metropolitan,26705,,4.0,64.0,Yes,No,Yes,Average,Gas,None,1994.0
Camberwell,3,h,1877059.0,S,Barry,7/5/2017,29.1,3100,3.0,3.0,,50.7,,2011.0,Moonee Valley,-37.9163,144.8184,Southern Metropolitan,18534,N,3.0,,No,Yes,,,Solar,Double,
Preston,1,t,,S,Marshall,3/12/2016,34.9,3186,1.0,4.0,5.0,2106.1,261.1,1877.0,,-37.885,145.0085,Eastern Metropolitan,8605,W,1.0,63.0,,No,Yes,Excellent,Gas,Single,2002.0
Preston,3,t,,S,Biggin,18/6/2016,4.5,3127,2.0,4.0,,1708.6,351.9,,Yarra,-37.9099,144.7093,Western Metropolitan,25021,W,2.0,,,Yes,No,Average,,Double,
Moonee Ponds,3,u,,SP,Biggin,3/12/2016,17.6,3058,3.0,2.0,,669.1,,1874.0,,-37.6337,144.98,Western Metropolitan,26947,W,4.0,70.0,Yes,Yes,No,Excellent,Electric,,
Brunswick,4,h,1723300.0,SA,Nelson,18/6/2016,28.5,3119,2.0,3.0,0.0,737.4,312.0,,,-37.6409,145.1104,Western Metropolitan,6425,E,3.0,82.0,No,Yes,,,Gas,Carport,
Preston,5,h,2815079.0,PI,Barry,1/9/2018,28.0,3037,1.0,3.0,0.0,,227.5,1956.0,Port Phillip,-37.7868,144.7899,Western Metropolitan,16146,SE,3.0,93.0,No,No,No,Good,Solar,Carport,
Hawthorn,1,u,1848328.0,VB,Biggin,18/6/2016,,3152,4.0,4.0,5.0,1530.4,149.3,1933.0,Moonee Valley,-37.6214,144.7571,Northern Metropolitan,10993,N,,,,Yes,Yes,Good,,None,
Malvern,3,h,2276361.0,S,Barry,1/9/2018,13.5,3106,4.0,3.0,1.0,2110.7,403.6,1906.0,Port Phillip,-37.5604,145.1851,Western Metropolitan,1191,NE,4.0,91.0,No,No,No,Excellent,Gas,None,
Fitzroy,1,h,2996437.0,SA,Nelson,3/12/2016,17.0,3020,4.0,1.0,4.0,,,,Port Phillip,-37.5618,145.1217,Western Metropolitan,14255,E,2.0,,No,,No,Average,Electric,Carport,
Moonee Ponds,2,h,547584.0,S,Barry,18/6/2016,21.6,3041,2.0,3.0,0.0,,504.4,1878.0,Darebin,-37.5577,144.851,Western Metropolitan,507,W,1.0,40.0,Yes,No,No,Poor,Gas,Single,1991.0
South Yarra,4,h,,S,Nelson,4/2/2017,34.1,3163,3.0,4.0,,2912.7,529.9,,Darebin,-37.6114,144.8043,South-Eastern Metropolitan,16048,,2.0,81.0,Yes,Yes,Yes,Excellent,Gas,,2022.0
Fitzroy,2,h,1142015.0,S,Nelson,4/2/2017,12.8,3136,2.0,,3.0,1718.7,434.5,,,-37.8632,144.867,Southern Metropolitan,2582,W,,55.0,Yes,No,No,Good,None,Double,
Moonee Ponds,1,u,830971.0,S,hockingstuart,7/5/2017,32.5,3139,5.0,,1.0,436.4,425.0,1875.0,Boroondara,-37.927,144.9156,Southern Metropolitan,21781,W,3.0,77.0,No,No,No,Poor,,None,
Camberwell,1,h,2733502.0,S,Barry,4/2/2017,10.9,3009,3.0,3.0,4.0,1248.0,,,Yarra,-37.6253,145.1105,Western Metropolitan,26237,SW,3.0,74.0,Yes,,No,Poor,None,Carport,2007.0
Brunswick,5,u,2519654.0,VB,Marshall,1/9/2018,34.6,3186,1.0,4.0,5.0,1021.5,101.5,1937.0,Moreland,-37.8266,144.8196,Western Metropolitan,2203,SE,3.0,62.0,Yes,,Yes,Average,Electric,Single,2011.0
Camberwell,3,h,2218067.0,SA,hockingstuart,4/2/2017,24.1,3132,6.0,4.0,5.0,681.6,495.0,,Moonee Valley,-37.8149,145.0604,Southern Metropolitan,5727,NW,2.0,,Yes,,No,Poor,Solar,,2020.0
Malvern,3,t,1806570.0,S,Nelson,4/2/2017,17.3,3032,4.0,4.0,,2803.6,170.5,1900.0,Moreland,-37.9208,145.1646,Eastern Metropolitan,12071,S,,38.0,No,Yes,No,,,Double,
Malvern,2,t,1901348.0,S,Marshall,4/2/2017,,3068,3.0,1.0,,2648.7,239.1,2005.0,,-37.6641,144.8898,South-Eastern Metropolitan,8831,NW,3.0,31.0,Yes,No,No,Good,Electric,Carport,
Coburg,4,t,1104741.0,S,Biggin,18/6/2016,11.0,3079,3.0,4.0,,637.5,121.4,1871.0,Port Phillip,-37.7777,144.713,South-Eastern Metropolitan,20316,,2.0,43.0,,,Yes,Excellent,Solar,Double,
Camberwell,6,t,2273615.0,S,Biggin,7/5/2017,11.0,3190,4.0,1.0,,1088.8,149.3,1934.0,Darebin,-37.8683,145.1138,Eastern Metropolitan,10894,NE,2.0,,No,No,Yes,Excellent,None,,
Reservoir,3,u,699777.0,SP,hockingstuart,3/12/2016,5.7,3100,1.0,1.0,,,474.2,1944.0,Boroondara,-37.689,,Western Metropolitan,1158,SW,3.0,,No,No,Yes,Good,Gas,Single,2014.0
South Yarra,5,u,,SP,Marshall,7/5/2017,5.8,3028,2.0,2.0,,665.1,,2019.0,Port Phillip,,144.7745,Southern Metropolitan,29484,,3.0,,,,Yes,,,,2002.0
Essendon,2,h,2925032.0,PI,Barry,1/9/2018,13.5,3145,2.0,3.0,1.0,1795.1,,1930.0,,-37.7506,144.9985,South-Eastern Metropolitan,5161,E,2.0,54.0,Yes,No,Yes,,None,Single,
Camberwell,2,t,,S,Marshall,18/6/2016,27.2,3133,6.0,4.0,,2114.4,,1985.0,Moonee Valley,-37.7075,145.1124,Eastern Metropolitan,14034,S,,,Yes,No,,Poor,None,,1995.0
Coburg,6,u,545920.0,PI,hockingstuart,18/6/2016,22.1,3052,3.0,1.0,2.0,,,1929.0,Yarra,-37.8849,144.7905,Eastern Metropolitan,3937,E,4.0,,No,No,,Good,Electric,Double,
Northcote,5,h,1878662.0,VB,Barry,4/2/2017,5.4,3209,4.0,3.0,,,447.8,,Moonee Valley,,144.8115,Northern Metropolitan,19632,SE,1.0,39.0,Yes,Yes,No,Average,None,,2005.0
Hawthorn,4,h,385370.0,PI,Barry,4/2/2017,30.1,3159,5.0,1.0,,,,,Yarra,-37.7667,144.8009,Eastern Metropolitan,25477,SE,,86.0,No,No,Yes,,None,None,2010.0
Fitzroy,5,u,1106636.0,SA,Biggin,1/9/2018,21.8,3123,1.0,3.0,5.0,2896.2,479.5,,Yarra,-37.6121,145.1988,Northern Metropolitan,8014,W,,62.0,No,No,No,,,Single,
Malvern,4,t,698377.0,SP,Marshall,18/6/2016,33.7,3041,2.0,1.0,3.0,1072.2,174.3,1889.0,Boroondara,-37.5863,144.8148,Northern Metropolitan,16729,SW,4.0,38.0,Yes,No,Yes,Excellent,Electric,Single,2022.0
Northcote,5,h,2250564.0,SP,Barry,3/12/2016,24.1,3046,1.0,,5.0,2641.8,,,Moreland,-37.6933,,South-Eastern Metropolitan,7027,W,1.0,83.0,Yes,Yes,Yes,Excellent,,,1992.0
